epoch 0   	 train_loss = 5.30037 	 valid_loss = 3.73518
epoch 1   	 train_loss = 3.50998 	 valid_loss = 3.56510
epoch 2   	 train_loss = 3.40985 	 valid_loss = 3.40426
epoch 3   	 train_loss = 3.23738 	 valid_loss = 3.31346
epoch 4   	 train_loss = 3.18221 	 valid_loss = 3.35374
epoch 5   	 train_loss = 3.15065 	 valid_loss = 3.17492
epoch 6   	 train_loss = 3.05968 	 valid_loss = 2.89097
epoch 7   	 train_loss = 2.82908 	 valid_loss = 2.40831
epoch 8   	 train_loss = 2.44275 	 valid_loss = 1.98212
epoch 9   	 train_loss = 2.14236 	 valid_loss = 1.71646
epoch 10  	 train_loss = 1.94395 	 valid_loss = 1.60133
epoch 11  	 train_loss = 1.77170 	 valid_loss = 1.45643
epoch 12  	 train_loss = 1.61368 	 valid_loss = 1.38043
epoch 13  	 train_loss = 1.53287 	 valid_loss = 1.33929
epoch 14  	 train_loss = 1.42248 	 valid_loss = 1.34210
epoch 15  	 train_loss = 1.34236 	 valid_loss = 1.24913
epoch 16  	 train_loss = 1.24933 	 valid_loss = 1.19162
epoch 17  	 train_loss = 1.20851 	 valid_loss = 1.30209
epoch 18  	 train_loss = 1.12397 	 valid_loss = 1.04181
epoch 19  	 train_loss = 1.09336 	 valid_loss = 1.17043
epoch 20  	 train_loss = 1.04805 	 valid_loss = 1.10845
epoch 21  	 train_loss = 0.99649 	 valid_loss = 1.09305
epoch 22  	 train_loss = 0.94268 	 valid_loss = 1.16506
epoch 23  	 train_loss = 0.89480 	 valid_loss = 1.01783
epoch 24  	 train_loss = 0.85451 	 valid_loss = 1.05217
epoch 25  	 train_loss = 0.82809 	 valid_loss = 1.09670
epoch 26  	 train_loss = 0.78123 	 valid_loss = 1.03783
epoch 27  	 train_loss = 0.71366 	 valid_loss = 1.04284
epoch 28  	 train_loss = 0.71146 	 valid_loss = 1.00098
epoch 29  	 train_loss = 0.65767 	 valid_loss = 1.06345
epoch 30  	 train_loss = 0.60787 	 valid_loss = 1.12486
epoch 31  	 train_loss = 0.59632 	 valid_loss = 1.12544
epoch 32  	 train_loss = 0.56704 	 valid_loss = 0.98708
epoch 33  	 train_loss = 0.53503 	 valid_loss = 1.05087
epoch 34  	 train_loss = 0.49267 	 valid_loss = 1.06719
epoch 35  	 train_loss = 0.43415 	 valid_loss = 1.12720
epoch 36  	 train_loss = 0.44796 	 valid_loss = 1.21582
epoch 37  	 train_loss = 0.40488 	 valid_loss = 1.32050
epoch 38  	 train_loss = 0.37450 	 valid_loss = 1.32056
epoch 39  	 train_loss = 0.34675 	 valid_loss = 1.18356
epoch 40  	 train_loss = 0.35437 	 valid_loss = 1.32602
epoch 41  	 train_loss = 0.31533 	 valid_loss = 1.33739
