epoch 0   	 train_loss = 5.78687 	 valid_loss = 3.75821
epoch 1   	 train_loss = 3.51994 	 valid_loss = 3.58783
epoch 2   	 train_loss = 3.44504 	 valid_loss = 3.49931
epoch 3   	 train_loss = 3.30640 	 valid_loss = 3.30705
epoch 4   	 train_loss = 3.20788 	 valid_loss = 3.37430
epoch 5   	 train_loss = 3.18444 	 valid_loss = 3.31772
epoch 6   	 train_loss = 3.16539 	 valid_loss = 3.23382
epoch 7   	 train_loss = 3.12437 	 valid_loss = 3.06937
epoch 8   	 train_loss = 3.02591 	 valid_loss = 2.90071
epoch 9   	 train_loss = 2.81714 	 valid_loss = 2.45659
epoch 10  	 train_loss = 2.61042 	 valid_loss = 2.26727
epoch 11  	 train_loss = 2.30477 	 valid_loss = 1.94425
epoch 12  	 train_loss = 2.22717 	 valid_loss = 1.88674
epoch 13  	 train_loss = 2.03401 	 valid_loss = 1.82281
epoch 14  	 train_loss = 1.91389 	 valid_loss = 1.62269
epoch 15  	 train_loss = 1.79435 	 valid_loss = 1.59672
epoch 16  	 train_loss = 1.74729 	 valid_loss = 1.57760
epoch 17  	 train_loss = 1.67149 	 valid_loss = 1.54885
epoch 18  	 train_loss = 1.59820 	 valid_loss = 1.52984
epoch 19  	 train_loss = 1.55045 	 valid_loss = 1.46777
epoch 20  	 train_loss = 1.50206 	 valid_loss = 1.41522
epoch 21  	 train_loss = 1.43053 	 valid_loss = 1.43193
epoch 22  	 train_loss = 1.39555 	 valid_loss = 1.49327
epoch 23  	 train_loss = 1.34239 	 valid_loss = 1.48383
epoch 24  	 train_loss = 1.34106 	 valid_loss = 1.40485
epoch 25  	 train_loss = 1.26487 	 valid_loss = 1.41408
epoch 26  	 train_loss = 1.19316 	 valid_loss = 1.43657
epoch 27  	 train_loss = 1.15699 	 valid_loss = 1.41093
epoch 28  	 train_loss = 1.09595 	 valid_loss = 1.38579
epoch 29  	 train_loss = 1.09217 	 valid_loss = 1.36839
epoch 30  	 train_loss = 1.04506 	 valid_loss = 1.35070
epoch 31  	 train_loss = 1.04985 	 valid_loss = 1.44430
epoch 32  	 train_loss = 0.99730 	 valid_loss = 1.41349
epoch 33  	 train_loss = 0.94160 	 valid_loss = 1.50359
epoch 34  	 train_loss = 0.93238 	 valid_loss = 1.35712
epoch 35  	 train_loss = 0.85931 	 valid_loss = 1.43973
epoch 36  	 train_loss = 0.87014 	 valid_loss = 1.52014
epoch 37  	 train_loss = 0.82338 	 valid_loss = 1.45022
epoch 38  	 train_loss = 0.80560 	 valid_loss = 1.50388
epoch 39  	 train_loss = 0.73412 	 valid_loss = 1.60500
