epoch 0   	 train_loss = 5.28017 	 valid_loss = 3.72921
epoch 1   	 train_loss = 3.48133 	 valid_loss = 3.49663
epoch 2   	 train_loss = 3.28836 	 valid_loss = 3.26209
epoch 3   	 train_loss = 3.08380 	 valid_loss = 2.97536
epoch 4   	 train_loss = 2.60544 	 valid_loss = 2.27835
epoch 5   	 train_loss = 2.04743 	 valid_loss = 1.73022
epoch 6   	 train_loss = 1.70395 	 valid_loss = 1.45909
epoch 7   	 train_loss = 1.47026 	 valid_loss = 1.28314
epoch 8   	 train_loss = 1.28021 	 valid_loss = 1.19841
epoch 9   	 train_loss = 1.15326 	 valid_loss = 1.12144
epoch 10  	 train_loss = 1.04909 	 valid_loss = 1.05470
epoch 11  	 train_loss = 0.95529 	 valid_loss = 0.98526
epoch 12  	 train_loss = 0.86899 	 valid_loss = 0.96920
epoch 13  	 train_loss = 0.80250 	 valid_loss = 0.96056
epoch 14  	 train_loss = 0.74915 	 valid_loss = 0.96619
epoch 15  	 train_loss = 0.69666 	 valid_loss = 1.01013
epoch 16  	 train_loss = 0.63359 	 valid_loss = 0.98061
epoch 17  	 train_loss = 0.58465 	 valid_loss = 1.02539
epoch 18  	 train_loss = 0.53970 	 valid_loss = 1.07607
epoch 19  	 train_loss = 0.48485 	 valid_loss = 0.97938
epoch 20  	 train_loss = 0.43851 	 valid_loss = 1.12504
epoch 21  	 train_loss = 0.41695 	 valid_loss = 1.19969
epoch 22  	 train_loss = 0.37281 	 valid_loss = 1.27139
