epoch 0   	 train_loss = 5.54046 	 valid_loss = 3.74877
epoch 1   	 train_loss = 3.49349 	 valid_loss = 3.54844
epoch 2   	 train_loss = 3.31511 	 valid_loss = 3.37617
epoch 3   	 train_loss = 3.16162 	 valid_loss = 3.25907
epoch 4   	 train_loss = 2.99744 	 valid_loss = 2.96505
epoch 5   	 train_loss = 2.54486 	 valid_loss = 2.30834
epoch 6   	 train_loss = 2.08174 	 valid_loss = 1.94509
epoch 7   	 train_loss = 1.80713 	 valid_loss = 1.74633
epoch 8   	 train_loss = 1.59153 	 valid_loss = 1.64259
epoch 9   	 train_loss = 1.43205 	 valid_loss = 1.50649
epoch 10  	 train_loss = 1.29720 	 valid_loss = 1.44835
epoch 11  	 train_loss = 1.19358 	 valid_loss = 1.38551
epoch 12  	 train_loss = 1.10295 	 valid_loss = 1.44429
epoch 13  	 train_loss = 1.02685 	 valid_loss = 1.37154
epoch 14  	 train_loss = 0.94955 	 valid_loss = 1.32138
epoch 15  	 train_loss = 0.88412 	 valid_loss = 1.38700
epoch 16  	 train_loss = 0.82604 	 valid_loss = 1.28796
epoch 17  	 train_loss = 0.77798 	 valid_loss = 1.38018
epoch 18  	 train_loss = 0.71915 	 valid_loss = 1.36311
epoch 19  	 train_loss = 0.66373 	 valid_loss = 1.36369
epoch 20  	 train_loss = 0.60840 	 valid_loss = 1.40497
epoch 21  	 train_loss = 0.55664 	 valid_loss = 1.40340
epoch 22  	 train_loss = 0.52387 	 valid_loss = 1.46196
epoch 23  	 train_loss = 0.46746 	 valid_loss = 1.56457
epoch 24  	 train_loss = 0.43875 	 valid_loss = 1.60689
epoch 25  	 train_loss = 0.39946 	 valid_loss = 1.76127
